Year,Month,Country,Model,Segment,Engine Type,Active Dealership Count,Gdp_Growth_Percent,Interest_Rate_Percent,Competition By Rivarly Index,Model Units Sold,Price_INR,Marketing_Spend_INR,Fuel_Price_INR
2022,12,UK,5 Series,Electric,Electric,262,7.24,6.25,6,820,6648695.4,27314679,105.41
2020,1,India,i4,Electric,Electric,231,5.83,4,4,789,8245551.6,21594370.2,79.76
2019,5,Australia,i4,Electric,Hybrid,392,4.04,5.15,10,985,4992566.74,27827519.3,72.96
2023,10,Canada,iX,Electric,Electric,378,8.2,6.5,7,928,7725662.05,38314213.97,96.72
2015,8,Australia,X1,Electric,Diesel,89,8,6.75,1,301,4229409.5,20528064.15,60.49
2019,4,Australia,7 Series,Sedan,Petrol,16,4.04,5.15,3,70,6495047.86,13569370.64,72.96
2020,5,Brazil,5 Series,Sedan,Hybrid,281,5.83,4,3,654,8730536.1,4310915.7,79.76
2019,4,China,i7,Sedan,Electric,236,4.04,5.15,1,584,3477339.6,33331687.34,72.96
2020,12,UK,3 Series,SUV,Electric,25,5.83,4,6,396,8291493.6,22366492.2,79.76
2020,12,UK,X7,Electric,Electric,21,5.83,4,9,238,7849709.4,29693500.2,79.76
2021,4,Australia,X3,Sedan,Diesel,300,9.05,4,8,629,6714153.6,10344438.72,99.86
2018,12,Japan,i4,SUV,Hybrid,250,6.53,6.5,7,662,2771778.31,21072395.19,75.55
2022,8,Brazil,X1,Sedan,Diesel,30,7.24,6.25,10,80,9273778.2,4859523.6,105.41
2021,2,Australia,X7,Sedan,Hybrid,187,9.05,4,8,401,6222437.76,14411591.04,99.86
2023,1,Germany,X3,Electric,Petrol,237,8.2,6.5,6,588,3462738.09,32579810.04,96.72
2021,3,Canada,X3,SUV,Diesel,282,9.05,4,9,935,5535573.12,13013172.48,99.86
2017,9,China,i7,Electric,Diesel,297,6.8,6,3,796,5515598.88,15570387.36,63.09
2017,4,France,i7,Electric,Petrol,306,6.8,6,10,964,7254107.52,25212119.68,63.09
2022,10,Germany,i7,Sedan,Hybrid,143,7.24,6.25,10,312,4737929.4,4361907,105.41
2019,5,Japan,X5,Electric,Electric,292,4.04,5.15,9,977,5148124.52,5526632.02,72.96
2018,2,India,X5,SUV,Petrol,162,6.53,6.5,4,747,7846863.43,13154064.21,75.55
2022,4,India,X3,Electric,Electric,75,7.24,6.25,7,581,5937758.4,33801222.6,105.41
2020,2,Germany,i7,Electric,Electric,146,5.83,4,9,389,3260177.7,21249953.4,79.76
2016,2,Australia,iX,Electric,Petrol,101,8.26,6.25,2,330,5097033.4,12619289.85,59.68
2018,4,France,i4,Sedan,Hybrid,326,6.53,6.5,2,1118,2614207.75,34059314.24,75.55
2018,6,USA,X7,SUV,Electric,268,6.53,6.5,9,733,6460803.3,10496155.25,75.55
2020,7,USA,X7,Sedan,Petrol,112,5.83,4,3,479,7310409.6,17031514.5,79.76
2020,10,Japan,X5,Sedan,Diesel,64,5.83,4,9,194,6437808,27356682.6,79.76
2015,3,Australia,X3,Sedan,Diesel,266,8,6.75,5,637,6163403.7,6381385.4,60.49
2022,3,UK,X1,Sedan,Diesel,110,7.24,6.25,6,277,8747394,21471712.2,105.41
2020,10,UK,7 Series,Sedan,Petrol,207,5.83,4,2,502,6790005.3,25245573.6,79.76
2017,6,China,7 Series,SUV,Diesel,310,6.8,6,8,1066,4014973.6,16039967.68,63.09
2023,12,France,X5,Electric,Electric,235,8.2,6.5,9,810,6490084.57,40375739.16,96.72
2016,3,France,X1,Sedan,Diesel,246,8.26,6.25,2,968,2560879.66,32717901.74,59.68
2022,2,India,X5,Sedan,Diesel,35,7.24,6.25,6,270,4834057.2,16507572,105.41
2024,8,Brazil,7 Series,SUV,Electric,130,6.8,6.5,6,451,7052697.6,21414265.6,94.77
2017,5,Japan,X1,SUV,Diesel,191,6.8,6,8,512,5413295.36,7755336.16,63.09
2019,1,USA,i7,Electric,Electric,208,4.04,5.15,10,685,3875071.76,8388641.66,72.96
2020,3,Japan,X3,SUV,Diesel,311,5.83,4,5,1051,6710866.5,4930243.5,79.76
2024,10,UK,X7,Electric,Electric,264,6.8,6.5,9,912,9827833.6,31502348.8,94.77
2020,8,UK,iX,Sedan,Diesel,131,5.83,4,1,376,5211675.3,7155244.2,79.76
2018,4,Germany,5 Series,Sedan,Electric,40,6.53,6.5,9,420,2610719.86,29488810.54,75.55
2017,7,China,X3,Electric,Petrol,324,6.8,6,10,951,4584317.76,19947753.76,63.09
2018,10,France,i7,SUV,Electric,294,6.53,6.5,7,869,4850834.31,27439709.36,75.55
2015,12,Canada,7 Series,Electric,Diesel,115,8,6.75,4,367,2522442.15,19816961.4,60.49
2018,2,Japan,i7,SUV,Diesel,233,6.53,6.5,3,591,6183892.19,16386722.73,75.55
2015,7,UK,X5,Sedan,Hybrid,282,8,6.75,10,662,6904785.25,17966041.45,60.49
2015,5,Brazil,X1,SUV,Electric,241,8,6.75,6,916,3769454,5854906.35,60.49
2024,5,India,X7,Electric,Petrol,265,6.8,6.5,1,695,3857152,10872076.8,94.77
2020,6,USA,i4,Electric,Electric,33,5.83,4,3,530,3357693.3,26276304.6,79.76
2019,9,China,X5,Sedan,Electric,118,4.04,5.15,2,716,2873206.42,31431474.06,72.96
2018,6,Brazil,X3,SUV,Petrol,200,6.53,6.5,9,533,3360000.7,22930551.49,75.55
2017,12,China,X5,SUV,Electric,356,6.8,6,3,967,3208527.52,31827009.28,63.09
2015,8,Germany,X3,SUV,Petrol,34,8,6.75,2,388,3276461.25,8153144.25,60.49
2020,7,Canada,i4,Sedan,Petrol,196,5.83,4,4,545,4000214.4,21798145.2,79.76
2016,9,UK,3 Series,SUV,Electric,297,8.26,6.25,2,892,6446342.98,16797701.57,59.68
2022,4,India,X7,Electric,Electric,125,7.24,6.25,1,669,3761874.6,11076705,105.41
2024,2,Brazil,iX,SUV,Diesel,347,6.8,6.5,6,926,9751289.6,9682899.2,94.77
2019,7,China,iX,Sedan,Diesel,375,4.04,5.15,10,749,7490997.92,10525536.56,72.96
2021,6,France,5 Series,SUV,Hybrid,46,9.05,4,8,136,7114578.24,21609033.6,99.86
2024,1,Germany,i7,SUV,Hybrid,291,6.8,6.5,10,727,8661203.2,31274297.6,94.77
2016,11,France,3 Series,Electric,Electric,146,8.26,6.25,10,600,3761094.63,32378054.72,59.68
2022,9,India,iX,SUV,Petrol,236,7.24,6.25,2,674,6729496.2,5009256.6,105.41
2016,9,Brazil,X5,Electric,Hybrid,329,8.26,6.25,9,935,6213260.87,29347987.29,59.68
2018,12,Germany,i7,Electric,Electric,337,6.53,6.5,3,719,7379417.78,34039617.92,75.55
2015,2,Brazil,3 Series,Sedan,Hybrid,191,8,6.75,8,780,3247914.5,6480689.6,60.49
2019,3,UK,X1,Electric,Petrol,371,4.04,5.15,8,913,3877043.52,11739859.04,72.96
2023,5,Australia,X1,Electric,Electric,95,8.2,6.5,3,465,3499481.74,12478060.97,96.72
2015,5,Germany,i7,Sedan,Petrol,62,8,6.75,3,527,5820906.85,20269860.4,60.49
2023,1,France,X3,Electric,Electric,357,8.2,6.5,6,900,9634680.45,6798153.24,96.72
2022,8,India,X3,Sedan,Hybrid,364,7.24,6.25,1,823,6574025.4,4909906.2,105.41
2020,12,Canada,X5,SUV,Diesel,244,5.83,4,4,560,7027495.8,6744952.5,79.76
2021,8,UK,3 Series,Sedan,Hybrid,276,9.05,4,1,636,5990550.72,14353711.68,99.86
2017,4,Australia,3 Series,Electric,Hybrid,296,6.8,6,3,907,2343799.04,8334969.28,63.09
2015,7,Canada,i7,Sedan,Diesel,109,8,6.75,9,224,6889325.1,9250558.3,60.49
2019,11,USA,7 Series,Electric,Diesel,96,4.04,5.15,5,186,7229105.94,6582932.02,72.96
2016,10,UK,X1,SUV,Electric,24,8.26,6.25,5,406,4176530.4,29953100.43,59.68
2019,3,India,3 Series,Sedan,Electric,110,4.04,5.15,4,455,5644585.52,8810809.56,72.96
2022,6,China,i7,SUV,Petrol,174,7.24,6.25,3,711,6789075,34281704.4,105.41
2023,10,Germany,i4,Electric,Petrol,38,8.2,6.5,5,253,4506010.04,40860094.78,96.72
2016,10,Brazil,5 Series,Electric,Hybrid,123,8.26,6.25,4,387,2629547.84,11671843.66,59.68
2017,12,India,i4,SUV,Diesel,116,6.8,6,8,455,6308044.16,29410406.08,63.09
2017,9,Germany,X7,Sedan,Petrol,373,6.8,6,4,880,7636166.56,17888398.88,63.09
2015,1,Canada,X5,Sedan,Hybrid,139,8,6.75,8,380,4308763.05,13483367.75,60.49
2022,5,Brazil,3 Series,Electric,Diesel,93,7.24,6.25,6,372,3967649.4,10560931.8,105.41
2020,4,Japan,X7,SUV,Electric,280,5.83,4,5,610,4918461.6,32289149.1,79.76
2022,8,France,iX,SUV,Hybrid,253,7.24,6.25,4,794,3130087.8,29489776.8,105.41
2023,11,USA,X7,Sedan,Electric,397,8.2,6.5,4,1130,8707501.92,21552999.39,96.72
2019,12,UK,i7,Sedan,Petrol,223,4.04,5.15,4,861,3843875.7,22813122.36,72.96
2017,1,India,3 Series,Sedan,Petrol,315,6.8,6,9,1036,3403952.64,26795838.08,63.09
2019,9,USA,5 Series,SUV,Diesel,175,4.04,5.15,4,606,4339209.98,22687070.56,72.96
2019,6,China,i7,Sedan,Hybrid,288,4.04,5.15,9,791,7751058.98,17207831.2,72.96
2019,4,Germany,i7,Sedan,Electric,68,4.04,5.15,10,547,5274105.9,29673579.6,72.96
2017,12,Germany,X5,Electric,Diesel,99,6.8,6,6,349,2521446.4,7022280.32,63.09
2024,9,India,X5,Sedan,Petrol,380,6.8,6.5,10,1149,4515014.4,26588972.8,94.77
2018,11,Australia,X1,Sedan,Petrol,340,6.53,6.5,7,898,3467099.44,20865447.05,75.55
2023,5,Australia,X1,SUV,Hybrid,203,8.2,6.5,10,522,5364407.76,31603254.65,96.72
2024,5,Japan,X3,SUV,Electric,132,6.8,6.5,3,411,7351884.8,25889843.2,94.77
2023,12,France,7 Series,Electric,Hybrid,145,8.2,6.5,8,334,4817546.65,35754048.55,96.72
2016,5,Brazil,3 Series,Sedan,Electric,148,8.26,6.25,3,463,5816436.73,20137985.23,59.68
2022,1,China,3 Series,Electric,Electric,238,7.24,6.25,1,579,7593310.2,14500049.4,105.41
2022,1,USA,X7,SUV,Hybrid,283,7.24,6.25,10,881,4274661,32311438.2,105.41
2021,8,Australia,3 Series,Electric,Diesel,59,9.05,4,5,496,8771199.36,6130924.8,99.86
2022,12,Japan,3 Series,SUV,Hybrid,127,7.24,6.25,2,450,8009340,4375347.6,105.41
2017,8,Japan,7 Series,Electric,Hybrid,211,6.8,6,10,821,6723249.28,22744201.92,63.09
2020,12,India,iX,Electric,Petrol,200,5.83,4,6,827,7441492.5,31921613.1,79.76
2015,6,China,X1,Sedan,Petrol,373,8,6.75,10,1156,7282179.7,13225420.6,60.49
2021,12,Canada,X1,Electric,Hybrid,332,9.05,4,9,738,8711028.48,32665026.24,99.86
2015,11,Brazil,5 Series,Sedan,Hybrid,190,8,6.75,1,600,4357003.85,27940275.9,60.49
2023,4,France,3 Series,Sedan,Petrol,87,8.2,6.5,4,566,7612623.72,21197122.69,96.72
2015,2,UK,7 Series,Sedan,Electric,84,8,6.75,1,268,7338824.15,26515376.1,60.49
2015,2,India,X1,Sedan,Hybrid,304,8,6.75,1,973,2277004.25,26469059.8,60.49
2021,9,Brazil,7 Series,Electric,Diesel,290,9.05,4,8,602,5895489.6,32624665.92,99.86
2016,5,UK,i4,SUV,Diesel,30,8.26,6.25,2,336,6899337.96,5140370.95,59.68
2019,4,UK,iX,SUV,Diesel,180,4.04,5.15,1,636,4811376.08,6106329.46,72.96
2022,10,China,3 Series,SUV,Hybrid,24,7.24,6.25,8,324,8954819.4,39111595.8,105.41
2022,1,China,5 Series,Electric,Electric,220,7.24,6.25,4,724,2872987.2,27927601.8,105.41
2017,7,USA,X7,Sedan,Electric,57,6.8,6,3,150,5618032.64,16563532.48,63.09
2021,3,Japan,X1,SUV,Petrol,95,9.05,4,4,429,5237453.76,9425613.12,99.86
2017,6,Brazil,i4,Electric,Hybrid,158,6.8,6,5,576,4423210.88,32231664.96,63.09
2020,5,India,7 Series,Sedan,Electric,197,5.83,4,1,744,8111134.2,26132550.6,79.76
2020,5,Germany,X5,SUV,Hybrid,381,5.83,4,1,819,4363674.9,19429316.4,79.76
2017,11,India,i7,Sedan,Petrol,315,6.8,6,3,1029,5839636,19581193.28,63.09
2021,5,USA,3 Series,SUV,Petrol,160,9.05,4,6,403,8027046.72,22163877.12,99.86
2017,1,France,3 Series,SUV,Petrol,150,6.8,6,1,515,6849972.8,18530612.32,63.09
2022,1,Japan,i4,SUV,Diesel,78,7.24,6.25,2,557,4530032.4,32347122.6,105.41
2024,3,Germany,7 Series,Sedan,Hybrid,269,6.8,6.5,7,607,5604601.6,4482816,94.77
2018,12,Australia,X3,Electric,Petrol,343,6.53,6.5,1,1116,6753649.28,33283361.3,75.55
2015,10,France,3 Series,Sedan,Hybrid,18,8,6.75,7,130,7185056.6,32006167.05,60.49
2018,4,China,X3,SUV,Diesel,130,6.53,6.5,4,559,6250709.22,6397132.21,75.55
2021,5,UK,X5,Sedan,Diesel,380,9.05,4,10,1088,5597074.56,21440939.52,99.86
2018,2,Australia,i4,Electric,Petrol,110,6.53,6.5,6,360,8064275.24,18400808.23,75.55
2020,8,India,7 Series,Sedan,Petrol,158,5.83,4,8,740,4584567,4801605.9,79.76
2023,11,India,7 Series,Electric,Electric,155,8.2,6.5,9,521,5977572.58,12785386.51,96.72
2015,11,China,iX,Electric,Hybrid,362,8,6.75,6,1196,5584706.55,31686379.3,60.49
2019,2,USA,i7,Sedan,Petrol,252,4.04,5.15,9,724,8083863.9,6956369.28,72.96
2021,9,Brazil,X1,SUV,Electric,250,9.05,4,4,710,8531033.28,12051473.28,99.86
2015,2,Australia,X1,Electric,Hybrid,346,8,6.75,6,1156,3080226.4,31212118.35,60.49
2018,9,Australia,X7,Sedan,Petrol,52,6.53,6.5,8,243,5275399.43,33103769.16,75.55
2020,7,Canada,5 Series,Electric,Electric,104,5.83,4,9,630,2604837.3,18569311.8,79.76
2016,8,France,i4,SUV,Electric,235,8.26,6.25,3,666,2879293.07,7012082.78,59.68
2024,11,Japan,X5,Sedan,Hybrid,15,6.8,6.5,2,59,3941932.8,8652550.4,94.77
2019,2,France,7 Series,Sedan,Electric,223,4.04,5.15,6,804,3576772.64,16296103.46,72.96
2024,7,Brazil,i7,Sedan,Hybrid,215,6.8,6.5,4,596,6104134.4,38462444.8,94.77
2015,12,India,X3,SUV,Hybrid,76,8,6.75,1,320,3406365,26592933.45,60.49
2020,6,India,i4,Electric,Hybrid,109,5.83,4,8,565,7295589.6,24207951.3,79.76
2020,4,India,X7,Sedan,Diesel,21,5.83,4,9,96,3412230.9,27347642.4,79.76
2018,7,Canada,i4,Electric,Electric,246,6.53,6.5,9,575,2447404.54,18218959.22,75.55
2022,4,India,X7,Electric,Hybrid,331,7.24,6.25,2,968,8245454.4,24402470.4,105.41
2018,2,Brazil,7 Series,SUV,Petrol,267,6.53,6.5,9,582,4493154.61,31700953.48,75.55
2022,10,China,5 Series,Sedan,Diesel,346,7.24,6.25,7,1124,6499512.6,16290243,105.41
2022,12,Japan,X7,Electric,Diesel,144,7.24,6.25,5,697,5662344,31911914.4,105.41
2019,7,Brazil,7 Series,Sedan,Electric,231,4.04,5.15,7,704,6548074.12,5255022.08,72.96
2018,8,Japan,7 Series,Sedan,Hybrid,165,6.53,6.5,9,332,5044583.18,16658914.93,75.55
2016,2,Brazil,5 Series,SUV,Electric,151,8.26,6.25,8,654,3937334,19134636.96,59.68
2017,5,India,X1,Sedan,Diesel,167,6.8,6,6,663,3569227.2,6297429.6,63.09
2017,1,China,i4,Sedan,Hybrid,335,6.8,6,4,698,6004324.48,9072909.12,63.09
2018,7,Australia,3 Series,Electric,Petrol,380,6.53,6.5,1,880,3767263.15,32141385.08,75.55
2018,8,France,3 Series,SUV,Hybrid,353,6.53,6.5,6,887,5597995.06,25477600.26,75.55
2024,6,UK,X3,Sedan,Diesel,271,6.8,6.5,3,720,9135110.4,9848300.8,94.77
2019,5,China,X3,Electric,Petrol,292,4.04,5.15,6,910,8398922.98,17738305.06,72.96
2018,6,Australia,3 Series,SUV,Hybrid,347,6.53,6.5,6,726,5114135.81,22003319.87,75.55
2024,2,USA,X5,SUV,Petrol,353,6.8,6.5,4,821,7588422.4,13562598.4,94.77
2022,1,Brazil,3 Series,Electric,Petrol,238,7.24,6.25,2,710,5421828,35946295.2,105.41
2020,7,USA,X3,Electric,Diesel,385,5.83,4,9,1036,6751769.7,28552582.5,79.76
2020,7,Australia,i7,Electric,Petrol,289,5.83,4,2,648,3641348.1,16736077.8,79.76
2022,10,China,X3,Electric,Electric,367,7.24,6.25,3,783,3485438.4,21674578.8,105.41
2021,11,Brazil,X5,Electric,Diesel,299,9.05,4,10,668,3762232.32,12840717.12,99.86
2024,10,UK,i4,Sedan,Electric,177,6.8,6.5,1,570,5392441.6,10518560,94.77
2024,2,India,3 Series,Sedan,Petrol,56,6.8,6.5,7,433,9936659.2,39395366.4,94.77
2022,2,Brazil,5 Series,SUV,Electric,212,7.24,6.25,1,614,7913369.4,5187128.4,105.41
2016,1,Brazil,i7,Sedan,Hybrid,223,8.26,6.25,9,511,3069306.39,10879068.85,59.68
2023,10,China,7 Series,Sedan,Petrol,255,8.2,6.5,1,891,8909550.71,35926619.85,96.72
